Model,MSO4104
Firmware Version,2.48

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,1e-06,,,
Sample Interval,1e-09,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,500,500,10,10
Vertical Units,V,V,A,A
Vertical Offset,0,0,0,0
Vertical Scale,500,100,1,2
Label,,,,
TIME,CH1,CH2,CH3,CH4
-4.8760e-06,830,-184,-2.78,-3.24
-4.8750e-06,790,-188,-2.74,-3.24
-4.8740e-06,810,-192,-2.74,-3.24
-4.8730e-06,810,-188,-2.7,-3.24
-4.8720e-06,850,-192,-2.66,-3.16
-4.8710e-06,850,-192,-2.66,-3.16
-4.8700e-06,790,-188,-2.66,-3.08
-4.8690e-06,810,-192,-2.7,-3
-4.8680e-06,870,-192,-2.66,-2.92
-4.8670e-06,830,-188,-2.58,-3.08
-4.8660e-06,790,-184,-2.66,-2.76
-4.8650e-06,810,-188,-2.62,-2.76
-4.8640e-06,810,-188,-2.62,-2.68
-4.8630e-06,830,-184,-2.62,-2.76
-4.8620e-06,790,-184,-2.7,-2.68
-4.8610e-06,810,-180,-2.66,-2.68
-4.8600e-06,830,-192,-2.7,-2.52
-4.8590e-06,790,-188,-2.7,-2.44
-4.8580e-06,810,-184,-2.7,-2.44
-4.8570e-06,810,-184,-2.66,-2.36
-4.8560e-06,850,-188,-2.58,-2.44
-4.8550e-06,810,-188,-2.62,-2.36
-4.8540e-06,790,-188,-2.58,-2.36
-4.8530e-06,810,-188,-2.58,-2.28
-4.8520e-06,830,-192,-2.62,-2.12
-4.8510e-06,810,-184,-2.5,-2.2
-4.8500e-06,790,-196,-2.58,-2.12
-4.8490e-06,810,-188,-2.58,-2.28
-4.8480e-06,870,-188,-2.5,-1.88
-4.8470e-06,810,-192,-2.58,-1.96
-4.8460e-06,790,-188,-2.58,-1.96
-4.8450e-06,870,-188,-2.54,-2.04
-4.8440e-06,850,-188,-2.46,-1.88
-4.8430e-06,790,-188,-2.46,-1.88
-4.8420e-06,850,-188,-2.46,-1.88
-4.8410e-06,790,-188,-2.46,-1.8
-4.8400e-06,810,-192,-2.3,-1.72
-4.8390e-06,850,-192,-2.38,-1.8
-4.8380e-06,810,-192,-2.26,-1.56
-4.8370e-06,810,-192,-2.26,-1.64
-4.8360e-06,810,-192,-2.26,-1.56
-4.8350e-06,770,-192,-2.26,-1.48
-4.8340e-06,790,-188,-2.26,-1.4
-4.8330e-06,790,-188,-2.18,-1.48
-4.8320e-06,830,-184,-2.14,-1.48
-4.8310e-06,830,-196,-2.06,-1.32
-4.8300e-06,790,-188,-2.14,-1.4
-4.8290e-06,830,-184,-2.14,-1.32
-4.8280e-06,790,-192,-2.14,-1.24
-4.8270e-06,790,-184,-2.1,-1.24
-4.8260e-06,790,-192,-2.14,-1.16
-4.8250e-06,810,-184,-2.06,-1.16
-4.8240e-06,770,-188,-2.06,-1.08
-4.8230e-06,810,-188,-1.98,-1.08
-4.8220e-06,830,-192,-2.02,-1
-4.8210e-06,810,-188,-2.06,-1
-4.8200e-06,810,-184,-2.1,-1
-4.8190e-06,810,-184,-2.06,-0.92
-4.8180e-06,850,-192,-2.02,-0.76
-4.8170e-06,810,-184,-2.1,-0.76
-4.8160e-06,810,-184,-2.06,-0.68
-4.8150e-06,810,-188,-2.02,-0.68
-4.8140e-06,830,-188,-2.1,-0.6
-4.8130e-06,810,-192,-2.1,-0.68
-4.8120e-06,830,-184,-2.06,-0.52
-4.8110e-06,810,-184,-2.14,-0.52
-4.8100e-06,790,-196,-2.06,-0.36
-4.8090e-06,830,-188,-2.06,-0.52
