Model,MSO4104
Firmware Version,2.48

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,1e-06,,,
Sample Interval,1e-09,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,500,500,10,10
Vertical Units,V,V,A,A
Vertical Offset,0,0,0,0
Vertical Scale,500,100,1,2
Label,,,,
TIME,CH1,CH2,CH3,CH4
-2.1240e-06,-630,-192,-0.38,-2.84
-2.1230e-06,-630,-188,-0.38,-2.84
-2.1220e-06,-610,-192,-0.42,-2.92
-2.1210e-06,-630,-200,-0.42,-3
-2.1200e-06,-590,-196,-0.42,-2.92
-2.1190e-06,-650,-204,-0.42,-3
-2.1180e-06,-630,-208,-0.38,-2.84
-2.1170e-06,-630,-212,-0.38,-3
-2.1160e-06,-650,-208,-0.38,-2.84
-2.1150e-06,-610,-196,-0.38,-3
-2.1140e-06,-670,-200,-0.38,-2.92
-2.1130e-06,-630,-196,-0.3,-2.92
-2.1120e-06,-590,-192,-0.38,-2.92
-2.1110e-06,-650,-188,-0.34,-3
-2.1100e-06,-610,-204,-0.3,-2.76
-2.1090e-06,-630,-192,-0.3,-3
-2.1080e-06,-610,-196,-0.34,-2.84
-2.1070e-06,-630,-204,-0.34,-2.92
-2.1060e-06,-650,-200,-0.3,-2.84
-2.1050e-06,-650,-208,-0.22,-3
-2.1040e-06,-630,-212,-0.34,-2.92
-2.1030e-06,-650,-204,-0.3,-3.08
-2.1020e-06,-630,-204,-0.3,-2.92
-2.1010e-06,-650,-196,-0.3,-3
-2.1000e-06,-630,-196,-0.26,-3
-2.0990e-06,-630,-192,-0.22,-2.84
-2.0980e-06,-630,-192,-0.26,-2.84
-2.0970e-06,-630,-192,-0.3,-3
-2.0960e-06,-610,-192,-0.22,-2.92
-2.0950e-06,-650,-196,-0.34,-3
-2.0940e-06,-610,-196,-0.38,-3
-2.0930e-06,-630,-200,-0.34,-2.92
-2.0920e-06,-630,-200,-0.34,-2.92
-2.0910e-06,-650,-204,-0.38,-3
-2.0900e-06,-630,-200,-0.42,-3
-2.0890e-06,-650,-200,-0.42,-3
-2.0880e-06,-610,-204,-0.42,-3
-2.0870e-06,-650,-192,-0.46,-2.92
-2.0860e-06,-650,-196,-0.46,-2.84
-2.0850e-06,-630,-192,-0.38,-2.92
-2.0840e-06,-610,-196,-0.38,-3.08
-2.0830e-06,-650,-192,-0.5,-3.08
-2.0820e-06,-610,-204,-0.46,-3
-2.0810e-06,-610,-204,-0.42,-3
-2.0800e-06,-610,-200,-0.54,-3
-2.0790e-06,-610,-200,-0.5,-3
-2.0780e-06,-650,-204,-0.46,-2.92
-2.0770e-06,-630,-204,-0.46,-2.84
-2.0760e-06,-590,-200,-0.58,-2.92
-2.0750e-06,-650,-208,-0.5,-2.92
-2.0740e-06,-670,-200,-0.54,-3
-2.0730e-06,-630,-196,-0.58,-3
-2.0720e-06,-630,-192,-0.54,-2.92
-2.0710e-06,-650,-200,-0.54,-2.92
-2.0700e-06,-630,-204,-0.54,-3
-2.0690e-06,-650,-200,-0.46,-3.08
-2.0680e-06,-630,-204,-0.42,-3
-2.0670e-06,-630,-204,-0.46,-3
-2.0660e-06,-650,-200,-0.46,-2.84
-2.0650e-06,-610,-204,-0.5,-3
-2.0640e-06,-610,-200,-0.46,-3
-2.0630e-06,-630,-200,-0.42,-3.08
-2.0620e-06,-670,-196,-0.42,-3
-2.0610e-06,-690,-188,-0.38,-3.08
-2.0600e-06,-630,-200,-0.38,-3.08
-2.0590e-06,-630,-200,-0.38,-3
-2.0580e-06,-630,-196,-0.38,-3
-2.0570e-06,-670,-196,-0.34,-3.08
-2.0560e-06,-630,-200,-0.38,-3
-2.0550e-06,-670,-196,-0.42,-3
-2.0540e-06,-630,-208,-0.38,-2.92
-2.0530e-06,-630,-200,-0.42,-3.08
-2.0520e-06,-630,-200,-0.42,-3.08
-2.0510e-06,-650,-200,-0.42,-3.08
-2.0500e-06,-630,-200,-0.38,-3
-2.0490e-06,-610,-196,-0.54,-3.08
-2.0480e-06,-650,-196,-0.42,-3
-2.0470e-06,-630,-196,-0.42,-3
-2.0460e-06,-630,-196,-0.46,-3.08
-2.0450e-06,-610,-192,-0.46,-3.08
-2.0440e-06,-650,-200,-0.46,-3.08
-2.0430e-06,-670,-200,-0.5,-3.16
-2.0420e-06,-630,-204,-0.54,-2.92
-2.0410e-06,-650,-200,-0.5,-3.08
-2.0400e-06,-650,-204,-0.58,-2.92
-2.0390e-06,-650,-204,-0.54,-3.08
-2.0380e-06,-590,-196,-0.58,-2.84
-2.0370e-06,-630,-196,-0.62,-3.08
-2.0360e-06,-630,-192,-0.58,-3
-2.0350e-06,-650,-200,-0.54,-3.08
-2.0340e-06,-630,-192,-0.58,-3
-2.0330e-06,-650,-196,-0.66,-2.92
-2.0320e-06,-670,-196,-0.62,-3.08
-2.0310e-06,-650,-200,-0.58,-3
-2.0300e-06,-630,-196,-0.62,-3.08
-2.0290e-06,-630,-196,-0.66,-3.08
-2.0280e-06,-630,-200,-0.66,-3
-2.0270e-06,-670,-200,-0.66,-3.08
-2.0260e-06,-630,-204,-0.62,-3
-2.0250e-06,-670,-196,-0.62,-3
-2.0240e-06,-610,-200,-0.62,-3.08
-2.0230e-06,-630,-208,-0.58,-3
-2.0220e-06,-610,-196,-0.62,-3
-2.0210e-06,-630,-204,-0.58,-3.08
-2.0200e-06,-650,-200,-0.58,-3.08
-2.0190e-06,-610,-208,-0.5,-3.16
-2.0180e-06,-610,-200,-0.5,-3
-2.0170e-06,-650,-200,-0.54,-3.16
-2.0160e-06,-630,-196,-0.46,-3.08
-2.0150e-06,-650,-196,-0.5,-3
-2.0140e-06,-630,-200,-0.5,-3.08
-2.0130e-06,-670,-200,-0.5,-3.16
-2.0120e-06,-630,-204,-0.46,-3.16
-2.0110e-06,-650,-184,-0.5,-3.16
-2.0100e-06,-610,-204,-0.46,-3
-2.0090e-06,-610,-200,-0.5,-3.16
-2.0080e-06,-630,-204,-0.46,-3
-2.0070e-06,-630,-192,-0.46,-3
-2.0060e-06,-650,-200,-0.5,-3.08
-2.0050e-06,-630,-200,-0.5,-3.24
-2.0040e-06,-610,-200,-0.46,-3.16
-2.0030e-06,-650,-196,-0.54,-3.08
-2.0020e-06,-610,-200,-0.5,-3.08
-2.0010e-06,-650,-200,-0.54,-3.24
-2.0000e-06,-630,-204,-0.58,-3.08
-1.9990e-06,-630,-192,-0.58,-3.16
-1.9980e-06,-630,-200,-0.62,-3.16
-1.9970e-06,-630,-196,-0.62,-3.16
-1.9960e-06,-650,-196,-0.62,-3.24
-1.9950e-06,-610,-196,-0.62,-3.16
-1.9940e-06,-630,-188,-0.62,-3.16
-1.9930e-06,-630,-200,-0.62,-3.16
-1.9920e-06,-610,-192,-0.66,-3.08
-1.9910e-06,-670,-200,-0.62,-3.24
-1.9900e-06,-630,-196,-0.66,-3
-1.9890e-06,-630,-196,-0.66,-3.16
-1.9880e-06,-630,-196,-0.7,-3
-1.9870e-06,-650,-196,-0.74,-3.08
-1.9860e-06,-650,-196,-0.66,-3.16
-1.9850e-06,-630,-192,-0.66,-3.24
-1.9840e-06,-650,-192,-0.62,-3.08
-1.9830e-06,-610,-192,-0.62,-3.16
-1.9820e-06,-630,-196,-0.7,-2.92
-1.9810e-06,-630,-192,-0.58,-3.24
-1.9800e-06,-670,-200,-0.66,-3.08
-1.9790e-06,-610,-200,-0.66,-3.16
-1.9780e-06,-630,-200,-0.62,-3.16
-1.9770e-06,-650,-196,-0.54,-3.16
-1.9760e-06,-630,-196,-0.54,-3.16
-1.9750e-06,-610,-196,-0.54,-3.16
-1.9740e-06,-650,-200,-0.62,-3.16
-1.9730e-06,-650,-196,-0.62,-3.24
-1.9720e-06,-610,-200,-0.54,-3.08
-1.9710e-06,-610,-192,-0.62,-3.16
-1.9700e-06,-610,-192,-0.58,-3
-1.9690e-06,-670,-200,-0.54,-3.08
-1.9680e-06,-630,-192,-0.54,-3.16
-1.9670e-06,-650,-200,-0.5,-3.24
-1.9660e-06,-630,-204,-0.54,-3.16
-1.9650e-06,-650,-204,-0.54,-3.24
-1.9640e-06,-590,-200,-0.5,-3.24
-1.9630e-06,-650,-212,-0.58,-3.24
-1.9620e-06,-630,-196,-0.5,-3.08
-1.9610e-06,-630,-196,-0.58,-3.16
-1.9600e-06,-650,-200,-0.54,-3.24
-1.9590e-06,-630,-196,-0.58,-3.24
-1.9580e-06,-630,-196,-0.62,-3.16
-1.9570e-06,-630,-200,-0.58,-3.16
-1.9560e-06,-610,-196,-0.62,-3.16
-1.9550e-06,-630,-196,-0.62,-3.24
-1.9540e-06,-630,-200,-0.62,-3.16
-1.9530e-06,-630,-204,-0.62,-3.4
-1.9520e-06,-610,-196,-0.62,-3.08
-1.9510e-06,-650,-192,-0.62,-3.24
-1.9500e-06,-630,-200,-0.74,-3.16
-1.9490e-06,-630,-204,-0.66,-3.24
-1.9480e-06,-650,-204,-0.74,-3.08
-1.9470e-06,-630,-196,-0.66,-3.24
-1.9460e-06,-610,-196,-0.74,-3.16
-1.9450e-06,-690,-196,-0.7,-3.32
-1.9440e-06,-630,-196,-0.7,-3.24
-1.9430e-06,-610,-192,-0.7,-3.32
-1.9420e-06,-630,-196,-0.7,-3.32
-1.9410e-06,-630,-196,-0.74,-3.24
-1.9400e-06,-630,-200,-0.66,-3.24
-1.9390e-06,-630,-200,-0.74,-3.24
-1.9380e-06,-630,-204,-0.66,-3.16
-1.9370e-06,-630,-200,-0.74,-3.16
-1.9360e-06,-630,-200,-0.66,-3.08
-1.9350e-06,-650,-200,-0.74,-3.16
-1.9340e-06,-610,-200,-0.7,-3.16
-1.9330e-06,-630,-200,-0.62,-3.24
-1.9320e-06,-630,-200,-0.7,-3.24
-1.9310e-06,-630,-196,-0.7,-3.32
-1.9300e-06,-610,-192,-0.66,-3.16
-1.9290e-06,-630,-196,-0.66,-3.16
-1.9280e-06,-670,-196,-0.62,-3.24
-1.9270e-06,-650,-200,-0.62,-3.24
-1.9260e-06,-630,-200,-0.66,-3.08
-1.9250e-06,-670,-200,-0.62,-3.24
-1.9240e-06,-590,-200,-0.58,-3.24
-1.9230e-06,-650,-200,-0.62,-3.24
-1.9220e-06,-630,-204,-0.62,-3.16
-1.9210e-06,-670,-200,-0.7,-3.24
-1.9200e-06,-610,-200,-0.62,-3.16
-1.9190e-06,-650,-200,-0.58,-3.32
-1.9180e-06,-610,-200,-0.66,-3.16
-1.9170e-06,-630,-200,-0.66,-3.24
-1.9160e-06,-610,-196,-0.62,-3.24
-1.9150e-06,-610,-196,-0.66,-3.08
-1.9140e-06,-650,-200,-0.74,-3.32
-1.9130e-06,-630,-196,-0.62,-3.24
-1.9120e-06,-610,-196,-0.66,-3.16
-1.9110e-06,-650,-200,-0.74,-3.24
-1.9100e-06,-650,-204,-0.7,-3.24
-1.9090e-06,-590,-192,-0.74,-3.24
-1.9080e-06,-650,-200,-0.78,-3.24
-1.9070e-06,-610,-200,-0.74,-3.32
-1.9060e-06,-610,-200,-0.7,-3.24
-1.9050e-06,-610,-200,-0.7,-3.4
-1.9040e-06,-650,-200,-0.7,-3.24
-1.9030e-06,-630,-200,-0.74,-3.24
-1.9020e-06,-630,-196,-0.86,-3.16
-1.9010e-06,-630,-196,-0.78,-3.24
-1.9000e-06,-630,-200,-0.82,-3.24
-1.8990e-06,-630,-192,-0.78,-3.48
-1.8980e-06,-650,-196,-0.78,-3.32
-1.8970e-06,-650,-192,-0.82,-3.24
-1.8960e-06,-630,-200,-0.78,-3.24
-1.8950e-06,-650,-192,-0.78,-3.32
-1.8940e-06,-630,-196,-0.86,-3.24
-1.8930e-06,-630,-200,-0.74,-3.32
-1.8920e-06,-630,-196,-0.82,-3.16
-1.8910e-06,-630,-200,-0.74,-3.32
-1.8900e-06,-610,-200,-0.74,-3.24
-1.8890e-06,-650,-200,-0.82,-3.4
-1.8880e-06,-610,-192,-0.82,-3.32
-1.8870e-06,-630,-200,-0.78,-3.32
-1.8860e-06,-650,-200,-0.82,-3.32
-1.8850e-06,-630,-200,-0.78,-3.32
-1.8840e-06,-630,-196,-0.78,-3.32
-1.8830e-06,-610,-192,-0.74,-3.32
-1.8820e-06,-630,-196,-0.74,-3.24
-1.8810e-06,-610,-192,-0.82,-3.32
-1.8800e-06,-630,-196,-0.78,-3.16
-1.8790e-06,-650,-192,-0.82,-3.32
-1.8780e-06,-630,-200,-0.74,-3.24
-1.8770e-06,-610,-196,-0.74,-3.24
-1.8760e-06,-630,-200,-0.86,-3.4
-1.8750e-06,-610,-204,-0.86,-3.32
-1.8740e-06,-630,-200,-0.78,-3.32
-1.8730e-06,-650,-200,-0.82,-3.32
-1.8720e-06,-650,-200,-0.78,-3.24
-1.8710e-06,-630,-196,-0.86,-3.4
-1.8700e-06,-610,-196,-0.78,-3.32
-1.8690e-06,-630,-200,-0.9,-3.48
-1.8680e-06,-650,-204,-0.82,-3.4
-1.8670e-06,-630,-196,-0.86,-3.4
-1.8660e-06,-610,-204,-0.78,-3.32
-1.8650e-06,-630,-192,-0.82,-3.32
-1.8640e-06,-610,-192,-0.86,-3.4
-1.8630e-06,-630,-196,-0.9,-3.4
-1.8620e-06,-630,-208,-0.82,-3.24
-1.8610e-06,-630,-200,-0.86,-3.32
-1.8600e-06,-630,-200,-0.9,-3.32
-1.8590e-06,-650,-196,-0.86,-3.4
-1.8580e-06,-630,-200,-0.86,-3.24
-1.8570e-06,-630,-196,-0.94,-3.48
-1.8560e-06,-650,-200,-0.86,-3.32
-1.8550e-06,-650,-196,-0.94,-3.32
-1.8540e-06,-630,-204,-0.9,-3.4
-1.8530e-06,-610,-200,-0.86,-3.32
-1.8520e-06,-630,-200,-0.94,-3.24
-1.8510e-06,-650,-192,-0.98,-3.48
-1.8500e-06,-630,-200,-0.9,-3.4
-1.8490e-06,-630,-192,-0.94,-3.4
-1.8480e-06,-650,-196,-0.86,-3.4
-1.8470e-06,-630,-196,-0.9,-3.48
-1.8460e-06,-630,-200,-0.86,-3.32
-1.8450e-06,-650,-200,-0.86,-3.4
-1.8440e-06,-630,-196,-0.9,-3.4
-1.8430e-06,-650,-196,-0.9,-3.4
-1.8420e-06,-630,-200,-0.86,-3.48
-1.8410e-06,-690,-200,-0.9,-3.4
-1.8400e-06,-590,-196,-0.94,-3.4
-1.8390e-06,-630,-200,-0.9,-3.48
-1.8380e-06,-630,-196,-0.9,-3.48
-1.8370e-06,-630,-196,-0.9,-3.48
-1.8360e-06,-630,-196,-0.9,-3.32
-1.8350e-06,-650,-196,-0.94,-3.56
-1.8340e-06,-610,-196,-0.86,-3.32
-1.8330e-06,-630,-196,-0.9,-3.48
-1.8320e-06,-630,-200,-0.9,-3.48
-1.8310e-06,-630,-196,-0.98,-3.48
-1.8300e-06,-650,-200,-0.9,-3.48
-1.8290e-06,-630,-200,-0.94,-3.48
-1.8280e-06,-650,-200,-0.9,-3.48
-1.8270e-06,-670,-208,-0.94,-3.48
-1.8260e-06,-650,-196,-0.98,-3.4
-1.8250e-06,-630,-200,-0.94,-3.32
-1.8240e-06,-630,-196,-0.86,-3.4
-1.8230e-06,-650,-204,-0.94,-3.4
-1.8220e-06,-630,-200,-0.9,-3.48
-1.8210e-06,-630,-204,-0.98,-3.48
-1.8200e-06,-610,-192,-0.98,-3.4
-1.8190e-06,-650,-204,-0.98,-3.48
-1.8180e-06,-650,-200,-0.94,-3.4
-1.8170e-06,-630,-200,-0.98,-3.48
-1.8160e-06,-610,-204,-0.98,-3.48
-1.8150e-06,-690,-196,-0.94,-3.56
-1.8140e-06,-630,-200,-0.98,-3.56
-1.8130e-06,-630,-200,-0.98,-3.48
-1.8120e-06,-630,-200,-0.9,-3.4
-1.8110e-06,-650,-196,-0.9,-3.56
-1.8100e-06,-650,-196,-0.9,-3.48
-1.8090e-06,-630,-200,-0.98,-3.48
-1.8080e-06,-610,-204,-0.98,-3.48
-1.8070e-06,-610,-200,-1.02,-3.48
-1.8060e-06,-630,-192,-0.98,-3.56
-1.8050e-06,-630,-200,-0.94,-3.56
-1.8040e-06,-630,-196,-0.9,-3.4
-1.8030e-06,-630,-200,-0.94,-3.56
-1.8020e-06,-630,-192,-0.9,-3.4
-1.8010e-06,-650,-196,-0.94,-3.48
-1.8000e-06,-630,-196,-0.94,-3.56
-1.7990e-06,-650,-196,-0.94,-3.56
-1.7980e-06,-630,-200,-0.94,-3.48
-1.7970e-06,-630,-204,-0.94,-3.56
-1.7960e-06,-630,-196,-0.94,-3.48
-1.7950e-06,-630,-196,-1.02,-3.48
-1.7940e-06,-630,-196,-1.02,-3.48
-1.7930e-06,-610,-196,-0.98,-3.48
-1.7920e-06,-630,-196,-0.98,-3.56
-1.7910e-06,-630,-196,-0.98,-3.48
-1.7900e-06,-630,-200,-1.02,-3.4
-1.7890e-06,-630,-196,-0.98,-3.64
-1.7880e-06,-670,-196,-0.94,-3.48
-1.7870e-06,-650,-192,-1.06,-3.64
-1.7860e-06,-610,-200,-1.02,-3.4
-1.7850e-06,-650,-196,-0.98,-3.56
-1.7840e-06,-630,-200,-0.94,-3.56
-1.7830e-06,-610,-196,-0.98,-3.48
-1.7820e-06,-650,-200,-1.02,-3.4
-1.7810e-06,-650,-200,-1.02,-3.64
-1.7800e-06,-610,-200,-0.98,-3.56
-1.7790e-06,-630,-204,-0.98,-3.56
-1.7780e-06,-650,-200,-1.06,-3.48
-1.7770e-06,-650,-192,-1.02,-3.64
-1.7760e-06,-610,-200,-1.02,-3.56
-1.7750e-06,-650,-196,-1.02,-3.48
-1.7740e-06,-630,-200,-1.02,-3.56
-1.7730e-06,-630,-200,-0.98,-3.64
-1.7720e-06,-670,-196,-1.02,-3.56
-1.7710e-06,-630,-204,-0.98,-3.64
-1.7700e-06,-610,-200,-0.94,-3.64
-1.7690e-06,-670,-200,-1.06,-3.56
-1.7680e-06,-590,-196,-1.1,-3.56
-1.7670e-06,-610,-192,-0.98,-3.56
-1.7660e-06,-630,-200,-1.02,-3.56
-1.7650e-06,-630,-200,-1.06,-3.64
-1.7640e-06,-650,-196,-1.06,-3.64
-1.7630e-06,-610,-196,-1.02,-3.48
-1.7620e-06,-610,-196,-1.02,-3.56
-1.7610e-06,-630,-200,-1.02,-3.56
-1.7600e-06,-630,-192,-0.98,-3.56
-1.7590e-06,-630,-200,-0.98,-3.48
-1.7580e-06,-650,-200,-0.98,-3.64
-1.7570e-06,-650,-196,-1.02,-3.64
-1.7560e-06,-630,-192,-0.98,-3.64
-1.7550e-06,-650,-196,-0.98,-3.48
-1.7540e-06,-610,-204,-1.02,-3.48
-1.7530e-06,-650,-196,-1.06,-3.64
-1.7520e-06,-630,-196,-1.02,-3.48
-1.7510e-06,-650,-204,-1.02,-3.64
-1.7500e-06,-610,-196,-0.98,-3.48
-1.7490e-06,-610,-196,-1.02,-3.72
-1.7480e-06,-650,-200,-1.06,-3.64
-1.7470e-06,-630,-196,-1.06,-3.64
-1.7460e-06,-630,-200,-0.98,-3.64
-1.7450e-06,-610,-200,-1.06,-3.64
-1.7440e-06,-650,-196,-1.02,-3.56
-1.7430e-06,-630,-200,-1.14,-3.56
-1.7420e-06,-650,-196,-1.06,-3.64
-1.7410e-06,-650,-196,-1.06,-3.64
-1.7400e-06,-610,-192,-1.06,-3.64
-1.7390e-06,-630,-200,-1.06,-3.64
-1.7380e-06,-630,-200,-1.14,-3.64
-1.7370e-06,-630,-200,-1.14,-3.56
-1.7360e-06,-630,-200,-1.14,-3.64
-1.7350e-06,-630,-200,-1.14,-3.64
-1.7340e-06,-630,-204,-1.14,-3.48
-1.7330e-06,-630,-196,-1.1,-3.56
-1.7320e-06,-650,-200,-1.1,-3.56
-1.7310e-06,-630,-192,-1.1,-3.72
-1.7300e-06,-670,-196,-1.1,-3.56
-1.7290e-06,-630,-196,-1.06,-3.64
-1.7280e-06,-690,-196,-1.14,-3.56
-1.7270e-06,-610,-200,-1.1,-3.64
-1.7260e-06,-630,-200,-1.1,-3.56
-1.7250e-06,-630,-204,-0.98,-3.64
-1.7240e-06,-630,-192,-1.1,-3.56
-1.7230e-06,-630,-196,-1.1,-3.72
-1.7220e-06,-610,-196,-1.14,-3.56
-1.7210e-06,-630,-200,-1.1,-3.64
-1.7200e-06,-610,-204,-1.06,-3.64
-1.7190e-06,-630,-196,-1.1,-3.64
-1.7180e-06,-610,-204,-1.06,-3.64
-1.7170e-06,-630,-192,-1.14,-3.64
-1.7160e-06,-630,-196,-1.1,-3.64
-1.7150e-06,-630,-200,-1.18,-3.64
-1.7140e-06,-610,-200,-1.1,-3.64
-1.7130e-06,-630,-196,-1.14,-3.56
-1.7120e-06,-610,-200,-1.14,-3.64
-1.7110e-06,-630,-200,-1.14,-3.72
-1.7100e-06,-650,-200,-1.02,-3.56
-1.7090e-06,-650,-200,-1.14,-3.72
-1.7080e-06,-630,-204,-1.1,-3.64
-1.7070e-06,-630,-196,-1.1,-3.64
-1.7060e-06,-610,-200,-1.1,-3.72
-1.7050e-06,-650,-192,-1.14,-3.64
-1.7040e-06,-630,-200,-1.14,-3.64
-1.7030e-06,-650,-200,-1.14,-3.72
-1.7020e-06,-630,-192,-1.14,-3.64
-1.7010e-06,-610,-196,-1.1,-3.72
-1.7000e-06,-630,-200,-1.18,-3.56
-1.6990e-06,-630,-196,-1.14,-3.64
-1.6980e-06,-610,-196,-1.18,-3.72
-1.6970e-06,-630,-200,-1.22,-3.64
-1.6960e-06,-630,-200,-1.18,-3.72
-1.6950e-06,-630,-192,-1.22,-3.72
-1.6940e-06,-630,-200,-1.22,-3.64
-1.6930e-06,-630,-200,-1.14,-3.72
-1.6920e-06,-610,-196,-1.22,-3.72
-1.6910e-06,-650,-192,-1.22,-3.72
-1.6900e-06,-670,-196,-1.22,-3.72
-1.6890e-06,-630,-196,-1.22,-3.72
-1.6880e-06,-650,-192,-1.18,-3.64
-1.6870e-06,-650,-200,-1.22,-3.72
-1.6860e-06,-570,-200,-1.18,-3.64
-1.6850e-06,-670,-200,-1.3,-3.72
-1.6840e-06,-630,-200,-1.26,-3.64
-1.6830e-06,-610,-196,-1.26,-3.72
-1.6820e-06,-610,-200,-1.26,-3.64
-1.6810e-06,-650,-196,-1.26,-3.72
-1.6800e-06,-630,-200,-1.22,-3.72
-1.6790e-06,-630,-200,-1.26,-3.8
-1.6780e-06,-630,-192,-1.22,-3.72
-1.6770e-06,-630,-204,-1.26,-3.8
-1.6760e-06,-630,-200,-1.22,-3.72
-1.6750e-06,-650,-192,-1.22,-3.72
-1.6740e-06,-650,-204,-1.22,-3.72
-1.6730e-06,-630,-200,-1.26,-3.72
-1.6720e-06,-630,-196,-1.26,-3.64
-1.6710e-06,-630,-196,-1.22,-3.64
-1.6700e-06,-630,-196,-1.22,-3.56
-1.6690e-06,-630,-196,-1.22,-3.88
-1.6680e-06,-610,-200,-1.22,-3.8
-1.6670e-06,-650,-192,-1.18,-3.8
-1.6660e-06,-630,-196,-1.22,-3.8
-1.6650e-06,-630,-200,-1.22,-3.72
-1.6640e-06,-630,-196,-1.26,-3.64
-1.6630e-06,-650,-196,-1.22,-3.72
-1.6620e-06,-610,-196,-1.26,-3.72
-1.6610e-06,-610,-196,-1.22,-3.88
-1.6600e-06,-650,-200,-1.26,-3.72
-1.6590e-06,-650,-200,-1.3,-3.88
-1.6580e-06,-630,-196,-1.22,-3.72
-1.6570e-06,-610,-196,-1.26,-3.88
-1.6560e-06,-630,-200,-1.22,-3.72
-1.6550e-06,-630,-200,-1.26,-3.88
-1.6540e-06,-650,-196,-1.26,-3.88
-1.6530e-06,-630,-196,-1.26,-3.8
-1.6520e-06,-610,-192,-1.26,-3.64
-1.6510e-06,-610,-196,-1.38,-3.72
-1.6500e-06,-630,-204,-1.26,-3.8
-1.6490e-06,-630,-200,-1.3,-3.88
-1.6480e-06,-670,-204,-1.26,-3.72
-1.6470e-06,-630,-196,-1.38,-3.88
-1.6460e-06,-630,-204,-1.3,-3.72
-1.6450e-06,-630,-192,-1.3,-3.88
-1.6440e-06,-650,-192,-1.34,-3.88
-1.6430e-06,-670,-196,-1.34,-3.88
-1.6420e-06,-630,-200,-1.34,-3.8
-1.6410e-06,-630,-192,-1.3,-3.88
-1.6400e-06,-630,-196,-1.3,-3.8
-1.6390e-06,-650,-196,-1.34,-3.88
-1.6380e-06,-630,-200,-1.26,-3.88
-1.6370e-06,-650,-196,-1.3,-3.88
-1.6360e-06,-630,-200,-1.3,-3.8
-1.6350e-06,-630,-200,-1.3,-3.88
-1.6340e-06,-630,-192,-1.38,-3.8
-1.6330e-06,-650,-200,-1.38,-3.8
-1.6320e-06,-590,-200,-1.34,-3.72
-1.6310e-06,-630,-200,-1.38,-3.88
-1.6300e-06,-650,-200,-1.26,-3.8
-1.6290e-06,-630,-192,-1.34,-3.88
-1.6280e-06,-630,-204,-1.26,-3.88
-1.6270e-06,-650,-196,-1.3,-3.8
-1.6260e-06,-650,-200,-1.26,-3.96
-1.6250e-06,-650,-192,-1.3,-3.88
-1.6240e-06,-610,-196,-1.26,-3.88
-1.6230e-06,-630,-196,-1.34,-3.96
-1.6220e-06,-610,-196,-1.38,-3.72
-1.6210e-06,-650,-192,-1.22,-3.96
-1.6200e-06,-630,-200,-1.26,-3.88
-1.6190e-06,-630,-196,-1.34,-3.88
-1.6180e-06,-670,-200,-1.26,-3.88
-1.6170e-06,-610,-196,-1.34,-3.88
-1.6160e-06,-650,-200,-1.26,-3.8
-1.6150e-06,-610,-200,-1.3,-3.88
-1.6140e-06,-630,-204,-1.38,-3.8
-1.6130e-06,-610,-196,-1.34,-3.96
-1.6120e-06,-630,-200,-1.3,-3.88
-1.6110e-06,-630,-200,-1.34,-3.96
-1.6100e-06,-630,-200,-1.34,-3.96
-1.6090e-06,-610,-196,-1.34,-3.88
-1.6080e-06,-590,-204,-1.42,-3.88
-1.6070e-06,-650,-196,-1.34,-3.88
-1.6060e-06,-610,-196,-1.42,-3.8
-1.6050e-06,-650,-196,-1.42,-3.96
-1.6040e-06,-610,-200,-1.3,-3.96
-1.6030e-06,-630,-196,-1.34,-3.88
-1.6020e-06,-590,-200,-1.38,-3.88
-1.6010e-06,-630,-196,-1.42,-3.96
-1.6000e-06,-610,-200,-1.34,-3.88
-1.5990e-06,-630,-196,-1.38,-3.96
-1.5980e-06,-630,-200,-1.42,-3.96
-1.5970e-06,-610,-200,-1.46,-3.88
-1.5960e-06,-610,-200,-1.38,-3.88
-1.5950e-06,-670,-196,-1.42,-3.88
-1.5940e-06,-610,-200,-1.38,-3.96
-1.5930e-06,-650,-204,-1.42,-3.96
-1.5920e-06,-610,-184,-1.46,-3.8
-1.5910e-06,-630,-196,-1.42,-3.96
-1.5900e-06,-610,-196,-1.38,-3.88
-1.5890e-06,-650,-200,-1.46,-3.96
-1.5880e-06,-630,-200,-1.38,-3.8
-1.5870e-06,-610,-192,-1.38,-3.88
-1.5860e-06,-650,-204,-1.42,-3.96
-1.5850e-06,-650,-192,-1.42,-3.96
-1.5840e-06,-630,-204,-1.46,-3.96
-1.5830e-06,-650,-192,-1.42,-4.12
-1.5820e-06,-610,-196,-1.42,-3.88
-1.5810e-06,-650,-192,-1.38,-3.96
-1.5800e-06,-630,-196,-1.42,-3.88
-1.5790e-06,-630,-196,-1.42,-3.96
-1.5780e-06,-610,-196,-1.42,-3.96
-1.5770e-06,-650,-200,-1.34,-4.04
-1.5760e-06,-610,-200,-1.42,-3.96
-1.5750e-06,-630,-196,-1.46,-4.04
-1.5740e-06,-610,-200,-1.38,-3.96
-1.5730e-06,-630,-192,-1.38,-3.96
-1.5720e-06,-610,-196,-1.42,-3.88
-1.5710e-06,-630,-196,-1.42,-4.2
-1.5700e-06,-630,-204,-1.38,-3.88
