LECROYHDO8108A,60934,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,23-Dec-2021 15:57:23,0                 
Time,Ampl
6.53999879e-05,-16.1625
6.54000879e-05,-16.1619
6.54001879e-05,-16.1625
6.54002879e-05,-16.17
6.54003879e-05,-16.1856
6.54004879e-05,-16.2044
6.54005879e-05,-16.2188
6.54006879e-05,-16.22
6.54007879e-05,-16.205
6.54008879e-05,-16.1788
6.54009879e-05,-16.15
6.54010879e-05,-16.13
6.54011879e-05,-16.1269
6.54012879e-05,-16.1412
6.54013879e-05,-16.1656
6.54014879e-05,-16.19
6.54015879e-05,-16.2044
6.54016879e-05,-16.205
6.54017879e-05,-16.1944
6.54018879e-05,-16.18
6.54019879e-05,-16.17
6.54020879e-05,-16.1694
6.54021879e-05,-16.1775
6.54022879e-05,-16.19
6.54023879e-05,-16.2
6.54024879e-05,-16.2037
6.54025879e-05,-16.1994
6.54026879e-05,-16.19
6.54027879e-05,-16.18
6.54028879e-05,-16.1731
6.54029879e-05,-16.17
6.54030879e-05,-16.17
6.54031879e-05,-16.17
6.54032879e-05,-16.17
6.54033879e-05,-16.1687
6.54034879e-05,-16.17
6.54035879e-05,-16.175
6.54036879e-05,-16.1844
6.54037879e-05,-16.1975
6.54038879e-05,-16.21
6.54039879e-05,-16.2188
6.54040879e-05,-16.2219
6.54041879e-05,-16.2181
6.54042879e-05,-16.21
6.54043879e-05,-16.2006
6.54044879e-05,-16.1938
6.54045879e-05,-16.19
6.54046879e-05,-16.19
6.54047879e-05,-16.1931
6.54048879e-05,-16.1988
6.54049879e-05,-16.2044
6.54050879e-05,-16.21
6.54051879e-05,-16.2144
6.54052879e-05,-16.2162
6.54053879e-05,-16.215
6.54054879e-05,-16.21
6.54055879e-05,-16.2019
6.54056879e-05,-16.1925
6.54057879e-05,-16.1844
6.54058879e-05,-16.18
6.54059879e-05,-16.1806
6.54060879e-05,-16.1856
6.54061879e-05,-16.1931
6.54062879e-05,-16.2
6.54063879e-05,-16.2037
6.54064879e-05,-16.2044
6.54065879e-05,-16.2025
6.54066879e-05,-16.2
6.54067879e-05,-16.1994
6.54068879e-05,-16.2
6.54069879e-05,-16.2013
6.54070879e-05,-16.2
6.54071879e-05,-16.1944
6.54072879e-05,-16.1825
6.54073879e-05,-16.1669
6.54074879e-05,-16.15
6.54075879e-05,-16.1369
6.54076879e-05,-16.1319
6.54077879e-05,-16.1369
6.54078879e-05,-16.15
6.54079879e-05,-16.1694
6.54080879e-05,-16.19
6.54081879e-05,-16.2075
6.54082879e-05,-16.22
6.54083879e-05,-16.2263
6.54084879e-05,-16.2269
6.54085879e-05,-16.2244
6.54086879e-05,-16.22
6.54087879e-05,-16.2156
6.54088879e-05,-16.2125
6.54089879e-05,-16.2106
6.54090879e-05,-16.21
6.54091879e-05,-16.2112
6.54092879e-05,-16.2156
6.54093879e-05,-16.2219
6.54094879e-05,-16.23
6.54095879e-05,-16.2387
6.54096879e-05,-16.2462
6.54097879e-05,-16.2506
6.54098879e-05,-16.25
6.54099879e-05,-16.2456
6.54100879e-05,-16.2387
6.54101879e-05,-16.2325
6.54102879e-05,-16.23
6.54103879e-05,-16.2325
6.54104879e-05,-16.2406
6.54105879e-05,-16.2512
6.54106879e-05,-16.26
6.54107879e-05,-16.2644
6.54108879e-05,-16.2613
6.54109879e-05,-16.2519
6.54110879e-05,-16.24
6.54111879e-05,-16.2294
6.54112879e-05,-16.2231
6.54113879e-05,-16.2244
6.54114879e-05,-16.23
6.54115879e-05,-16.2369
6.54116879e-05,-16.2413
6.54117879e-05,-16.2387
6.54118879e-05,-16.23
6.54119879e-05,-16.2175
6.54120879e-05,-16.2056
6.54121879e-05,-16.1994
6.54122879e-05,-16.2
6.54123879e-05,-16.2075
6.54124879e-05,-16.2175
6.54125879e-05,-16.2263
6.54126879e-05,-16.23
6.54127879e-05,-16.2269
6.54128879e-05,-16.2194
6.54129879e-05,-16.2094
6.54130879e-05,-16.2
6.54131879e-05,-16.1931
6.54132879e-05,-16.1887
6.54133879e-05,-16.185
6.54134879e-05,-16.18
6.54135879e-05,-16.1725
6.54136879e-05,-16.1638
6.54137879e-05,-16.1556
6.54138879e-05,-16.15
6.54139879e-05,-16.1481
6.54140879e-05,-16.1506
6.54141879e-05,-16.155
6.54142879e-05,-16.16
6.54143879e-05,-16.1644
6.54144879e-05,-16.1675
6.54145879e-05,-16.1687
6.54146879e-05,-16.17
6.54147879e-05,-16.1706
6.54148879e-05,-16.1694
6.54149879e-05,-16.1663
6.54150879e-05,-16.16
6.54151879e-05,-16.1513
6.54152879e-05,-16.1425
6.54153879e-05,-16.1344
6.54154879e-05,-16.13
6.54155879e-05,-16.1294
6.54156879e-05,-16.1319
6.54157879e-05,-16.1363
6.54158879e-05,-16.14
6.54159879e-05,-16.1438
6.54160879e-05,-16.1475
6.54161879e-05,-16.1525
6.54162879e-05,-16.16
6.54163879e-05,-16.1694
6.54164879e-05,-16.1781
6.54165879e-05,-16.1825
6.54166879e-05,-16.18
6.54167879e-05,-16.1694
6.54168879e-05,-16.1531
6.54169879e-05,-16.135
6.54170879e-05,-16.12
6.54171879e-05,-16.1131
6.54172879e-05,-16.115
6.54173879e-05,-16.1256
6.54174879e-05,-16.14
6.54175879e-05,-16.155
6.54176879e-05,-16.1669
6.54177879e-05,-16.175
6.54178879e-05,-16.18
6.54179879e-05,-16.1825
6.54180879e-05,-16.1837
6.54181879e-05,-16.1831
6.54182879e-05,-16.18
6.54183879e-05,-16.1725
6.54184879e-05,-16.16
6.54185879e-05,-16.145
6.54186879e-05,-16.13
6.54187879e-05,-16.1187
6.54188879e-05,-16.115
6.54189879e-05,-16.1194
6.54190879e-05,-16.13
6.54191879e-05,-16.1444
6.54192879e-05,-16.1575
6.54193879e-05,-16.1669
6.54194879e-05,-16.17
6.54195879e-05,-16.1687
6.54196879e-05,-16.1644
6.54197879e-05,-16.1612
6.54198879e-05,-16.16
6.54199879e-05,-16.1619
6.54200879e-05,-16.1656
6.54201879e-05,-16.1687
6.54202879e-05,-16.17
6.54203879e-05,-16.1681
6.54204879e-05,-16.1644
6.54205879e-05,-16.1606
6.54206879e-05,-16.16
6.54207879e-05,-16.1644
6.54208879e-05,-16.1744
6.54209879e-05,-16.1869
6.54210879e-05,-16.2
6.54211879e-05,-16.2088
6.54212879e-05,-16.21
6.54213879e-05,-16.2031
6.54214879e-05,-16.19
6.54215879e-05,-16.1744
6.54216879e-05,-16.16
6.54217879e-05,-16.1513
6.54218879e-05,-16.15
6.54219879e-05,-16.155
6.54220879e-05,-16.1638
6.54221879e-05,-16.1731
6.54222879e-05,-16.18
6.54223879e-05,-16.1837
6.54224879e-05,-16.1837
6.54225879e-05,-16.1819
6.54226879e-05,-16.18
6.54227879e-05,-16.1781
6.54228879e-05,-16.1769
6.54229879e-05,-16.1744
6.54230879e-05,-16.17
6.54231879e-05,-16.1638
6.54232879e-05,-16.1556
6.54233879e-05,-16.1469
6.54234879e-05,-16.14
6.54235879e-05,-16.1356
6.54236879e-05,-16.135
6.54237879e-05,-16.1363
6.54238879e-05,-16.14
6.54239879e-05,-16.1444
6.54240879e-05,-16.1487
6.54241879e-05,-16.1544
6.54242879e-05,-16.16
6.54243879e-05,-16.1663
6.54244879e-05,-16.1731
6.54245879e-05,-16.1781
6.54246879e-05,-16.18
6.54247879e-05,-16.1775
6.54248879e-05,-16.1706
6.54249879e-05,-16.1606
6.54250879e-05,-16.15
6.54251879e-05,-16.1412
6.54252879e-05,-16.1363
6.54253879e-05,-16.1363
6.54254879e-05,-16.14
6.54255879e-05,-16.1463
6.54256879e-05,-16.1525
6.54257879e-05,-16.1575
6.54258879e-05,-16.16
6.54259879e-05,-16.16
6.54260879e-05,-16.1581
6.54261879e-05,-16.1544
6.54262879e-05,-16.15
6.54263879e-05,-16.1438
6.54264879e-05,-16.1369
6.54265879e-05,-16.1281
6.54266879e-05,-16.12
6.54267879e-05,-16.1137
6.54268879e-05,-16.1113
6.54269879e-05,-16.1131
6.54270879e-05,-16.12
6.54271879e-05,-16.1294
6.54272879e-05,-16.1394
6.54273879e-05,-16.1469
6.54274879e-05,-16.15
6.54275879e-05,-16.1481
6.54276879e-05,-16.1431
6.54277879e-05,-16.1363
6.54278879e-05,-16.13
6.54279879e-05,-16.1256
6.54280879e-05,-16.1238
6.54281879e-05,-16.1219
6.54282879e-05,-16.12
6.54283879e-05,-16.1163
6.54284879e-05,-16.1125
6.54285879e-05,-16.1094
6.54286879e-05,-16.11
6.54287879e-05,-16.115
6.54288879e-05,-16.1244
6.54289879e-05,-16.1337
6.54290879e-05,-16.14
6.54291879e-05,-16.1381
6.54292879e-05,-16.1256
6.54293879e-05,-16.105
6.54294879e-05,-16.08
6.54295879e-05,-16.0575
6.54296879e-05,-16.0431
6.54297879e-05,-16.0413
6.54298879e-05,-16.05
6.54299879e-05,-16.0656
6.54300879e-05,-16.0825
6.54301879e-05,-16.0944
6.54302879e-05,-16.1
6.54303879e-05,-16.0994
6.54304879e-05,-16.0969
6.54305879e-05,-16.0963
6.54306879e-05,-16.1
6.54307879e-05,-16.1088
6.54308879e-05,-16.1194
6.54309879e-05,-16.1275
6.54310879e-05,-16.13
6.54311879e-05,-16.1262
6.54312879e-05,-16.1175
6.54313879e-05,-16.1075
6.54314879e-05,-16.1
6.54315879e-05,-16.0975
6.54316879e-05,-16.0994
6.54317879e-05,-16.1044
6.54318879e-05,-16.11
6.54319879e-05,-16.115
6.54320879e-05,-16.1194
6.54321879e-05,-16.1238
6.54322879e-05,-16.13
6.54323879e-05,-16.1375
6.54324879e-05,-16.145
6.54325879e-05,-16.15
6.54326879e-05,-16.15
6.54327879e-05,-16.1438
6.54328879e-05,-16.1331
