Frequency (Hz),Impedance (O),Angle (°)
34885.2, 257.724, 89.9644
35943, 265.646, 89.9649
37032.8, 273.81, 89.9652
38155.7, 282.246, 89.9656
39312.6, 290.948, 89.9655
40504.6, 299.933, 89.9681
41732.8, 309.201, 89.9677
42998.2, 318.77, 89.9691
44301.9, 328.643, 89.9675
45645.2, 338.829, 89.9684
47029.2, 349.356, 89.9672
48455.2, 360.229, 89.9691
49924.4, 371.446, 89.9712
51438.2, 383.082, 89.9749
52997.9, 395.047, 89.9728
54604.8, 407.409, 89.9711
56260.5, 420.212, 89.9675
57966.4, 433.4, 89.9653
59724, 447.023, 89.966
61535, 461.17, 89.9724
63400.8, 475.799, 89.9735
65323.2, 490.953, 89.9728
67303.8, 506.66, 89.9646
69344.6, 522.796, 89.9665
71447.2, 539.472, 89.9668
73613.6, 556.867, 89.9662
75845.6, 574.858, 89.9613
78145.3, 593.47, 89.9619
80514.8, 612.721, 89.956
82956.1, 632.795, 89.9555
85471.5, 653.56, 89.9573
88063.1, 675.133, 89.9487
90733.2, 697.55, 89.9521
93484.4, 720.795, 89.9421
96319, 744.972, 89.9419
99239.5, 770.14, 89.94
102249, 796.273, 89.9354
105349, 823.388, 89.9395
108543, 851.838, 89.9326
111834, 881.342, 89.9987
115225, 913.063, 90.0962
118719, 952.237, 89.8235
122319, 977.4, 89.8143
126028, 1013.26, 89.9186
129849, 1050.67, 89.9241
133786, 1089.6, 89.8953
137843, 1130.42, 89.8975
142022, 1173.18, 89.894
146329, 1218.06, 89.8852
150765, 1265.37, 89.8796
155337, 1315.53, 89.8727
160047, 1368.53, 89.8714
164900, 1424.03, 89.8539
169900, 1483.25, 89.8366
175051, 1546.84, 89.8329
180359, 1613.83, 89.824
185828, 1685.46, 89.8135
191462, 1762.38, 89.7953
197268, 1844.1, 89.7864
203249, 1932.69, 89.7652
209412, 2028.46, 89.7497
215761, 2132.28, 89.7214
222303, 2244.27, 89.6888
229044, 2366.47, 89.68
235989, 2502.13, 89.6515
243144, 2650.74, 89.6154
250517, 2813.87, 89.5971
258113, 2998.2, 89.5412
265939, 3204.23, 89.4893
274003, 3435.46, 89.4473
282311, 3698.68, 89.3747
290871, 4009.11, 89.306
299690, 4367.43, 89.215
308777, 4773.78, 89.1187
318140, 5289.55, 88.9974
327786, 5911.29, 88.8331
337725, 6687.51, 88.6686
347965, 7683.18, 88.383
358516, 9040.84, 88.0241
369387, 10963.7, 87.4352
380587, 13856.5, 86.7712
392127, 18870.5, 85.3448
404017, 29289.9, 82.5764
416267, 64911.4, 72.7939
428889, 159858, -42.8083
441893, 41886.9, -78.2132
455292, 23350.6, -83.2055
469097, 16231, -85.1519
483321, 12389.8, -86.1246
497976, 9989.37, -86.7726
513075, 8374.1, -87.1996
528632, 7216.49, -87.4959
544661, 6323.71, -87.7011
561175, 5617.57, -87.8236
578191, 5062.11, -88.0038
595722, 4601.46, -87.9622
613786, 4206.8, -88.1982
632396, 3876.48, -88.2662
651571, 3593.76, -88.3414
671328, 3346.3, -88.3862
691683, 3122.88, -88.4599
712656, 2929.44, -88.4971
734265, 2755.38, -88.5108
756528, 2597.06, -88.6195
779467, 2458.16, -88.6275
803102, 2328.56, -88.6326
827453, 2211.16, -88.668
852542, 2102.98, -88.688
878392, 2004.5, -88.7166
905026, 1911.44, -88.7329
932468, 1825.97, -88.7609
960742, 1745.97, -88.7821
989872, 1671.69, -88.7974
1.01989e+006, 1601.95, -88.8178
1.05081e+006, 1539, -88.8737
1.08267e+006, 1475.96, -88.8617
1.1155e+006, 1418.48, -88.8798
1.14932e+006, 1364.38, -88.9102
1.18417e+006, 1311.62, -88.9463
1.22008e+006, 1262.19, -89.04
1.25707e+006, 1217.46, -89.0226
1.29519e+006, 1170.32, -88.976
1.33446e+006, 1130.26, -89.1117
