LECROYHDO8108A,60934,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,23-Dec-2021 15:57:23,0                 
Time,Ampl
6.5399985e-05,3.85
6.5400085e-05,3.85625
6.5400185e-05,3.85625
6.5400285e-05,3.85625
6.5400385e-05,3.85
6.5400485e-05,3.8375
6.5400585e-05,3.81875
6.5400685e-05,3.7875
6.5400785e-05,3.75
6.5400885e-05,3.7125
6.5400985e-05,3.68125
6.5401085e-05,3.675
6.5401185e-05,3.7
6.5401285e-05,3.75625
6.5401385e-05,3.84375
6.5401485e-05,3.95
6.5401585e-05,4.05
6.5401685e-05,4.13125
6.5401785e-05,4.16875
6.5401885e-05,4.15625
6.5401985e-05,4.1
6.5402085e-05,4
6.5402185e-05,3.88125
6.5402285e-05,3.75625
6.5402385e-05,3.65
6.5402485e-05,3.5625
6.5402585e-05,3.50625
6.5402685e-05,3.46875
6.5402785e-05,3.45
6.5402885e-05,3.43125
6.5402985e-05,3.4125
6.5403085e-05,3.3875
6.5403185e-05,3.35
6.5403285e-05,3.3
6.5403385e-05,3.25
6.5403485e-05,3.19375
6.5403585e-05,3.15
6.5403685e-05,3.125
6.5403785e-05,3.125
6.5403885e-05,3.15
6.5403985e-05,3.2
6.5404085e-05,3.25625
6.5404185e-05,3.3
6.5404285e-05,3.31875
6.5404385e-05,3.3
6.5404485e-05,3.24375
6.5404585e-05,3.1625
6.5404685e-05,3.06875
6.5404785e-05,3
6.5404885e-05,2.9625
6.5404985e-05,2.9625
6.5405085e-05,3
6.5405185e-05,3.05
6.5405285e-05,3.1
6.5405385e-05,3.13125
6.5405485e-05,3.13125
6.5405585e-05,3.1
6.5405685e-05,3.05
6.5405785e-05,2.99375
6.5405885e-05,2.9375
6.5405985e-05,2.9
6.5406085e-05,2.88125
6.5406185e-05,2.875
6.5406285e-05,2.88125
6.5406385e-05,2.9
6.5406485e-05,2.925
6.5406585e-05,2.96875
6.5406685e-05,3.025
6.5406785e-05,3.1
6.5406885e-05,3.19375
6.5406985e-05,3.30625
6.5407085e-05,3.4125
6.5407185e-05,3.5
6.5407285e-05,3.55625
6.5407385e-05,3.575
6.5407485e-05,3.55
6.5407585e-05,3.5
6.5407685e-05,3.4375
6.5407785e-05,3.39375
6.5407885e-05,3.38125
6.5407985e-05,3.4
6.5408085e-05,3.45
6.5408185e-05,3.50625
6.5408285e-05,3.55
6.5408385e-05,3.55
6.5408485e-05,3.5
6.5408585e-05,3.4
6.5408685e-05,3.275
6.5408785e-05,3.15
6.5408885e-05,3.05625
6.5408985e-05,3.0125
6.5409085e-05,3.03125
6.5409185e-05,3.1
6.5409285e-05,3.2
6.5409385e-05,3.3125
6.5409485e-05,3.41875
6.5409585e-05,3.5
6.5409685e-05,3.55625
6.5409785e-05,3.59375
6.5409885e-05,3.60625
6.5409985e-05,3.6
6.5410085e-05,3.575
6.5410185e-05,3.5375
6.5410285e-05,3.475
6.5410385e-05,3.4
6.5410485e-05,3.33125
6.5410585e-05,3.275
6.5410685e-05,3.2625
6.5410785e-05,3.3
6.5410885e-05,3.3875
6.5410985e-05,3.525
6.5411085e-05,3.68125
6.5411185e-05,3.85
6.5411285e-05,4
6.5411385e-05,4.13125
6.5411485e-05,4.225
6.5411585e-05,4.3
6.5411685e-05,4.35625
6.5411785e-05,4.40625
6.5411885e-05,4.45625
6.5411985e-05,4.5
6.5412085e-05,4.53125
6.5412185e-05,4.55
6.5412285e-05,4.5375
6.5412385e-05,4.5
6.5412485e-05,4.4375
6.5412585e-05,4.36875
6.5412685e-05,4.3
6.5412785e-05,4.25
6.5412885e-05,4.23125
6.5412985e-05,4.25
6.5413085e-05,4.29375
6.5413185e-05,4.35
6.5413285e-05,4.4
6.5413385e-05,4.425
6.5413485e-05,4.4125
6.5413585e-05,4.35
6.5413685e-05,4.25
6.5413785e-05,4.1375
6.5413885e-05,4.025
6.5413985e-05,3.95
6.5414085e-05,3.91875
6.5414185e-05,3.93125
6.5414285e-05,3.98125
6.5414385e-05,4.05
6.5414485e-05,4.10625
6.5414585e-05,4.13125
6.5414685e-05,4.1125
6.5414785e-05,4.05
6.5414885e-05,3.95
6.5414985e-05,3.825
6.5415085e-05,3.70625
6.5415185e-05,3.6
6.5415285e-05,3.525
6.5415385e-05,3.4875
6.5415485e-05,3.48125
6.5415585e-05,3.5
6.5415685e-05,3.525
6.5415785e-05,3.55625
6.5415885e-05,3.58125
6.5415985e-05,3.6
6.5416085e-05,3.6125
6.5416185e-05,3.625
6.5416285e-05,3.6375
6.5416385e-05,3.65
6.5416485e-05,3.66875
6.5416585e-05,3.68125
6.5416685e-05,3.69375
6.5416785e-05,3.7
6.5416885e-05,3.70625
6.5416985e-05,3.7125
6.5417085e-05,3.725
6.5417185e-05,3.75
6.5417285e-05,3.78125
6.5417385e-05,3.81875
6.5417485e-05,3.84375
6.5417585e-05,3.85
6.5417685e-05,3.83125
6.5417785e-05,3.7875
6.5417885e-05,3.725
6.5417985e-05,3.65
6.5418085e-05,3.575
6.5418185e-05,3.5125
6.5418285e-05,3.46875
6.5418385e-05,3.45
6.5418485e-05,3.45
6.5418585e-05,3.46875
6.5418685e-05,3.50625
6.5418785e-05,3.55
6.5418885e-05,3.6
6.5418985e-05,3.65625
6.5419085e-05,3.70625
6.5419185e-05,3.75
6.5419285e-05,3.78125
6.5419385e-05,3.7875
6.5419485e-05,3.775
6.5419585e-05,3.75
6.5419685e-05,3.70625
6.5419785e-05,3.65625
6.5419885e-05,3.6
6.5419985e-05,3.55
6.5420085e-05,3.5
6.5420185e-05,3.45625
6.5420285e-05,3.425
6.5420385e-05,3.4
6.5420485e-05,3.3875
6.5420585e-05,3.3875
6.5420685e-05,3.39375
6.5420785e-05,3.4
6.5420885e-05,3.39375
6.5420985e-05,3.375
6.5421085e-05,3.325
6.5421185e-05,3.25
6.5421285e-05,3.15625
6.5421385e-05,3.05625
6.5421485e-05,2.9625
6.5421585e-05,2.9
6.5421685e-05,2.86875
6.5421785e-05,2.875
6.5421885e-05,2.90625
6.5421985e-05,2.95
6.5422085e-05,2.99375
6.5422185e-05,3.025
6.5422285e-05,3.04375
6.5422385e-05,3.05
6.5422485e-05,3.05
6.5422585e-05,3.05
6.5422685e-05,3.06875
6.5422785e-05,3.1
6.5422885e-05,3.15
6.5422985e-05,3.21875
6.5423085e-05,3.3
6.5423185e-05,3.4
6.5423285e-05,3.5125
6.5423385e-05,3.63125
6.5423485e-05,3.7625
6.5423585e-05,3.9
6.5423685e-05,4.0375
6.5423785e-05,4.1625
6.5423885e-05,4.26875
6.5423985e-05,4.35
6.5424085e-05,4.4
6.5424185e-05,4.425
6.5424285e-05,4.425
6.5424385e-05,4.4
6.5424485e-05,4.3625
6.5424585e-05,4.3125
6.5424685e-05,4.25625
6.5424785e-05,4.2
6.5424885e-05,4.14375
6.5424985e-05,4.1
6.5425085e-05,4.0625
6.5425185e-05,4.05
6.5425285e-05,4.05625
6.5425385e-05,4.08125
6.5425485e-05,4.11875
6.5425585e-05,4.15
6.5425685e-05,4.16875
6.5425785e-05,4.16875
6.5425885e-05,4.14375
6.5425985e-05,4.1
6.5426085e-05,4.04375
6.5426185e-05,3.98125
6.5426285e-05,3.93125
6.5426385e-05,3.9
6.5426485e-05,3.8875
6.5426585e-05,3.8875
6.5426685e-05,3.9
6.5426785e-05,3.9
6.5426885e-05,3.8875
6.5426985e-05,3.8625
6.5427085e-05,3.8125
6.5427185e-05,3.75
6.5427285e-05,3.68125
6.5427385e-05,3.61875
6.5427485e-05,3.575
6.5427585e-05,3.55
6.5427685e-05,3.55625
6.5427785e-05,3.5875
6.5427885e-05,3.6375
6.5427985e-05,3.7
6.5428085e-05,3.75625
6.5428185e-05,3.80625
6.5428285e-05,3.83125
6.5428385e-05,3.85
6.5428485e-05,3.8625
6.5428585e-05,3.8875
6.5428685e-05,3.93125
6.5428785e-05,4
6.5428885e-05,4.0875
6.5428985e-05,4.1875
6.5429085e-05,4.275
6.5429185e-05,4.35
6.5429285e-05,4.4
6.5429385e-05,4.41875
6.5429485e-05,4.4125
6.5429585e-05,4.4
6.5429685e-05,4.38125
6.5429785e-05,4.3625
6.5429885e-05,4.35625
6.5429985e-05,4.35
6.5430085e-05,4.35
6.5430185e-05,4.3625
6.5430285e-05,4.375
6.5430385e-05,4.4
6.5430485e-05,4.43125
6.5430585e-05,4.4625
6.5430685e-05,4.4875
6.5430785e-05,4.5
6.5430885e-05,4.5
6.5430985e-05,4.4875
6.5431085e-05,4.4625
6.5431185e-05,4.45
6.5431285e-05,4.45
6.5431385e-05,4.45625
6.5431485e-05,4.48125
6.5431585e-05,4.5
6.5431685e-05,4.50625
6.5431785e-05,4.48125
6.5431885e-05,4.43125
6.5431985e-05,4.35
6.5432085e-05,4.25
6.5432185e-05,4.14375
6.5432285e-05,4.04375
6.5432385e-05,3.95
6.5432485e-05,3.86875
6.5432585e-05,3.79375
6.5432685e-05,3.71875
6.5432785e-05,3.65
6.5432885e-05,3.58125
6.5432985e-05,3.53125
6.5433085e-05,3.5
6.5433185e-05,3.5
6.5433285e-05,3.525
6.5433385e-05,3.575
6.5433485e-05,3.61875
6.5433585e-05,3.65
6.5433685e-05,3.64375
6.5433785e-05,3.6
6.5433885e-05,3.5125
6.5433985e-05,3.4
6.5434085e-05,3.275
6.5434185e-05,3.15625
6.5434285e-05,3.0625
6.5434385e-05,3
6.5434485e-05,2.975
6.5434585e-05,2.98125
6.5434685e-05,3.025
6.5434785e-05,3.1
6.5434885e-05,3.2
6.5434985e-05,3.31875
6.5435085e-05,3.45625
6.5435185e-05,3.6
6.5435285e-05,3.73125
6.5435385e-05,3.8375
6.5435485e-05,3.9125
6.5435585e-05,3.95
6.5435685e-05,3.95625
6.5435785e-05,3.9375
6.5435885e-05,3.9125
6.5435985e-05,3.9
6.5436085e-05,3.90625
6.5436185e-05,3.925
6.5436285e-05,3.9625
6.5436385e-05,4
6.5436485e-05,4.025
6.5436585e-05,4.0375
6.5436685e-05,4.025
6.5436785e-05,4
6.5436885e-05,3.96875
6.5436985e-05,3.9375
6.5437085e-05,3.9125
6.5437185e-05,3.9
6.5437285e-05,3.89375
6.5437385e-05,3.89375
6.5437485e-05,3.89375
6.5437585e-05,3.9
6.5437685e-05,3.9125
6.5437785e-05,3.93125
