Frequency (Hz),Impedance (O),Angle (°)
32862.2, 97.3396, 89.9579
33858.6, 100.306, 89.9595
34885.2, 103.362, 89.9612
35943, 106.513, 89.9622
37032.8, 109.763, 89.9635
38155.7, 113.113, 89.965
39312.6, 116.564, 89.9648
40504.6, 120.122, 89.9673
41732.8, 123.794, 89.9686
42998.2, 127.577, 89.9699
44301.9, 131.478, 89.9697
45645.2, 135.506, 89.9707
47029.2, 139.651, 89.9716
48455.2, 143.93, 89.9716
49924.4, 148.341, 89.9723
51438.2, 152.895, 89.9747
52997.9, 157.595, 89.9775
54604.8, 162.42, 89.9738
56260.5, 167.421, 89.9788
57966.4, 172.587, 89.9805
59724, 177.886, 89.9794
61535, 183.397, 89.9793
63400.8, 189.036, 89.9836
65323.2, 194.883, 89.9878
67303.8, 200.903, 89.9849
69344.6, 207.141, 89.9841
71447.2, 213.55, 89.9833
73613.6, 220.198, 89.9876
75845.6, 227.013, 89.9952
78145.3, 234.105, 89.9909
80514.8, 241.405, 89.9855
82956.1, 248.947, 89.9854
85471.5, 256.752, 89.9873
88063.1, 264.796, 89.9869
90733.2, 273.109, 89.9846
93484.4, 281.74, 89.991
96319, 290.636, 89.9847
99239.5, 299.813, 89.9894
102249, 309.36, 89.9944
105349, 319.228, 89.9794
108543, 329.419, 89.9893
111834, 339.961, 89.9575
115225, 351.253, 89.9629
118719, 362.25, 90.1698
122319, 373.902, 90.0141
126028, 386.19, 89.9983
129849, 398.695, 89.9924
133786, 411.825, 89.9837
137843, 425.302, 89.9911
142022, 439.477, 89.98
146329, 454.099, 89.9876
150765, 469.321, 89.986
155337, 485.135, 89.9738
160047, 501.523, 89.9818
164900, 518.691, 89.967
169900, 536.452, 89.9477
175051, 555.146, 89.9571
180359, 574.567, 89.9583
185828, 594.861, 89.9588
191462, 616.007, 89.9534
197268, 638.181, 89.9525
203249, 661.433, 89.9436
209412, 685.744, 89.9446
215761, 711.261, 89.9442
222303, 737.959, 89.9401
229044, 766.24, 89.9279
235989, 795.971, 89.9273
243144, 827.231, 89.9212
250517, 860.291, 89.9137
258113, 895.372, 89.9094
265939, 932.407, 89.9001
274003, 971.841, 89.8965
282311, 1013.79, 89.8855
290871, 1058.57, 89.8747
299690, 1106.23, 89.8616
308777, 1158.27, 89.8786
318140, 1212.68, 89.8344
327786, 1272.1, 89.8341
337725, 1336.41, 89.8052
347965, 1406.34, 89.7897
358516, 1482.36, 89.7745
369387, 1565.27, 89.754
380587, 1657.58, 89.7131
392127, 1758.95, 89.682
404017, 1871.28, 89.6573
416267, 1997.32, 89.6241
428889, 2140.92, 89.5746
441893, 2302.33, 89.5215
455292, 2488.37, 89.4426
469097, 2705.42, 89.3746
483321, 2960.02, 89.2909
497976, 3264.16, 89.1781
513075, 3634.38, 89.0567
528632, 4094.12, 88.8783
544661, 4686.69, 88.6595
561175, 5468.71, 88.3734
578191, 6547.85, 87.9082
595722, 8207.55, 87.1689
613786, 10826.9, 86.154
632396, 15985.8, 84.1576
651571, 30254.4, 78.495
671328, 137189, 19.7384
691683, 35814.1, -75.058
712656, 17359.8, -82.578
734265, 11438.7, -84.7797
756528, 8479.25, -86.1446
779467, 6783.52, -86.8108
803102, 5639.53, -87.2482
827453, 4813.95, -87.5478
852542, 4195.88, -87.784
878392, 3723.15, -88.0113
905026, 3337.25, -88.1218
932468, 3020.38, -88.2605
960742, 2759.7, -88.3456
989872, 2539.71, -88.4425
1.01989e+006, 2347.92, -88.522
1.05081e+006, 2183.61, -88.5033
1.08267e+006, 2038.48, -88.6589
1.1155e+006, 1908.71, -88.7073
1.14932e+006, 1793.44, -88.7693
1.18417e+006, 1690.66, -88.825
1.22008e+006, 1595.68, -88.8598
1.25707e+006, 1512.98, -88.9622
1.29519e+006, 1435.96, -89.2108
1.33446e+006, 1363.78, -89.1021
1.37492e+006, 1298.27, -89.1742
1.41661e+006, 1237.38, -89.2612
1.45957e+006, 1180.14, -89.2527
1.50382e+006, 1128.69, -89.5132
1.54942e+006, 1076.55, -89.4111
1.5964e+006, 1030.97, -89.5133
1.64481e+006, 987.582, -89.5083
1.69468e+006, 946.48, -89.4613
1.74606e+006, 908.353, -89.4593
1.79901e+006, 871.973, -89.4465
1.85355e+006, 840.165, -89.4852
1.90976e+006, 807.813, -89.4822
1.96766e+006, 778.762, -89.4879
2.02732e+006, 748.161, -89.5579
2.08879e+006, 720.769, -89.5458
2.15213e+006, 694.724, -89.5623
2.21738e+006, 670.142, -89.5719
2.28462e+006, 646.507, -89.6098
2.35389e+006, 623.919, -89.6486
2.42526e+006, 602.045, -89.6845
2.4988e+006, 581.242, -89.7029
2.57457e+006, 561.444, -89.7571
2.65263e+006, 542.17, -89.7888
2.73306e+006, 523.555, -89.8317
2.81593e+006, 505.829, -89.8758
2.90132e+006, 488.447, -89.8826
2.98929e+006, 471.737, -89.8921
3.07993e+006, 456.093, -89.9108
3.17331e+006, 441.11, -89.9333
3.26953e+006, 426.329, -89.9607
3.36867e+006, 412.165, -89.9881
3.47081e+006, 398.598, -90.0342
3.57605e+006, 385.375, -90.0449
3.68448e+006, 372.385, -90.1054
3.7962e+006, 360.114, -90.1553
3.9113e+006, 348.281, -90.2002
4.0299e+006, 336.494, -90.2367
4.15209e+006, 325.085, -90.2623
4.27799e+006, 314.133, -90.2925
4.4077e+006, 303.438, -90.3164
4.54135e+006, 292.977, -90.3703
4.67905e+006, 282.641, -90.4101
4.82092e+006, 272.821, -90.4075
4.9671e+006, 263.049, -90.4006
5.11771e+006, 253.374, -90.3005
5.27288e+006, 244.264, -90.2319
5.43276e+006, 235.727, -90.0801
5.59749e+006, 227.098, -89.9699
5.76722e+006, 218.879, -89.8132
5.94208e+006, 210.835, -89.671
6.12226e+006, 202.612, -89.4456
6.30789e+006, 194.801, -89.1844
6.49915e+006, 187.143, -88.7893
6.69622e+006, 179.542, -88.2756
6.89925e+006, 171.954, -87.403
7.10845e+006, 165.232, -86.0945
7.32398e+006, 160.11, -84.3644
7.54606e+006, 158.311, -82.2963
7.77486e+006, 160.216, -81.2277
8.01061e+006, 162.268, -82.0867
8.2535e+006, 160.816, -84.0411
8.50375e+006, 155.623, -85.9909
8.7616e+006, 148.34, -87.4079
9.02726e+006, 140.845, -88.0456
9.30098e+006, 134.059, -88.0752
9.583e+006, 128.435, -87.9601
9.87357e+006, 123.224, -87.9272
1.01729e+007, 118.282, -87.9341
1.04814e+007, 113.449, -87.9669
1.07992e+007, 108.685, -87.9888
1.11267e+007, 103.944, -87.9868
1.1464e+007, 99.3755, -87.9445
1.18116e+007, 94.9181, -87.9009
1.21698e+007, 90.5166, -87.8017
1.25388e+007, 86.1824, -87.6515
1.2919e+007, 81.9267, -87.4736
1.33107e+007, 77.8223, -87.2668
1.37143e+007, 73.782, -86.9737
1.41301e+007, 69.8289, -86.6114
1.45586e+007, 65.9831, -86.1998
1.5e+007, 62.5713, -85.5518
